group,has_location,created_date,default_profile,favourites_count_std,tweets_mean,tweets_std,tweets_median,tweets_max,retweets_mean,retweets_std,retweets_median,retweets_max,replies_mean,replies_std,replies_max,quoted_mean,quoted_max,most_frequent_source,text_len_mean,text_len_std,text_len_median,text_len_max,text_len_min,text_tokens_mean,text_tokens_std,text_tokens_median,text_tokens_max,text_tokens_min,hashtags_std,hashtags_max,urls_mean,urls_std,urls_median,urls_min,mentions_mean,mentions_std,mentions_median,mentions_max,mentions_min,medias_max,medias_min,overall,universal
10,0.0,0.14332380563495306,1.0,0.0,0.04582640715269777,0.04940552494918168,0.014053791917430362,0.12089693522976067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364832207214747,0.6032692727845662,0.28243457442124303,0.5874524714828897,0.6176470588235293,0.3359375,0.4927462955740658,0.2825797518698998,0.5185185185185185,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
11,0.0,0.09340547162106982,1.0,0.0,0.04640033446679717,0.048582381275635675,0.01741031134020215,0.12689789766319765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.6193878167198883,0.2644710164215124,0.6007604562737643,0.6176470588235293,0.359375,0.4951324750860868,0.26395060044037244,0.48148148148148145,0.38775510204081626,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,1.0,0.06910984075132708,1.0,0.0,0.053409663634666496,0.051366857038722194,0.02990191792715506,0.11259046557717513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6848503214005969,0.6225137819810243,0.2254302433865637,0.5817490494296578,0.6176470588235293,0.35546875,0.5026992111447817,0.2347189697555076,0.48148148148148145,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,1.0,0.10289914250714577,1.0,0.0,0.05641019085031667,0.048621267547259345,0.016348792764116736,0.11460182765958472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.5970853719793794,0.2651574227276118,0.5893536121673004,0.6176470588235293,0.33984375,0.5165968474865096,0.2511201251268757,0.5185185185185185,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,0.0,0.02899142507145774,1.0,0.0,0.08071427155112168,0.08737050917728668,0.01706166529944475,0.12252704268794881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507120725805797,0.6135772732641169,0.2935839334691793,0.5817490494296578,0.6147058823529412,0.33203125,0.5067534607171784,0.28719231589295713,0.5185185185185185,0.39795918367346933,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,0.0,0.05369538587178441,1.0,0.0,0.04850261511986074,0.054267018467169345,0.017065938795347804,0.12239168867281808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751509286166404,0.6499510275129147,0.2730481269939077,0.6121673003802282,0.6235294117647059,0.40234375,0.5458681856179225,0.2688855769704739,0.5185185185185185,0.4285714285714285,0.31481481481481477,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,1.0,0.05747243772968559,1.0,0.0,0.062612254654845,0.07132754043100419,0.015645001407582716,0.12409102064913036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677717397272659,0.6494973349847857,0.30955592055580017,0.6349809885931559,0.6264705882352941,0.390625,0.5373236769857048,0.3062785926216962,0.5277777777777777,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,0.0,0.06339322172315232,1.0,0.0,0.04087291645059124,0.04297155132147874,0.020316644678936707,0.11865658883688729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364832207214747,0.5934624722020996,0.26612773864442035,0.5608365019011408,0.6117647058823529,0.3984375,0.4882924674177159,0.25519975508052295,0.48148148148148145,0.39795918367346933,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,1.0,0.0388934258881176,1.0,0.0,0.0660298561381503,0.05828635454290365,0.029192473091665956,0.10284318090299202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.5882453674284571,0.2745373482897381,0.5893536121673004,0.6235294117647059,0.33203125,0.4863388060693589,0.2888384142111112,0.48148148148148145,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,0.0,0.08544303797468356,1.0,0.0,0.06216830807982439,0.0702357127496398,0.021182383723963506,0.1460726402873843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7372153709797828,0.6207932258684332,0.3056609591393541,0.6159695817490495,0.6205882352941177,0.34375,0.5047847833633122,0.3235831447763502,0.5092592592592593,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
